,delay,time,capacity,accuracy
0,100000,10.929744005203249,9.14934512211756,0.998
1,90000,9.466041851043702,10.564077528241041,1.0
2,80000,8.91806173324585,11.21319889805289,1.0
3,70000,7.78183536529541,12.850438913931438,1.0
4,60000,6.300632619857788,15.87142213066489,1.0
5,50000,5.735366153717041,17.435678441417533,1.0
6,40000,4.633609390258789,21.58144797665281,1.0
7,30000,3.1978519439697264,31.27099120038144,1.0
8,20000,2.572178316116333,38.87755346254045,1.0
9,10000,1.3329610347747802,75.02094764300158,1.0
10,9000,1.1561537265777588,86.4936882537258,1.0
11,8000,1.0406454086303711,96.09421150631262,0.9800000000000001
12,7000,0.9350783824920654,106.94290646896496,0.998
13,6000,0.810347604751587,123.40383239690715,1.0
14,5000,0.7100508689880372,140.8349800944822,1.0
15,4000,0.5506561756134033,181.60152274439676,0.9960000000000001
16,3000,0.433605146408081,230.62456898490427,0.9960000000000001
17,2000,0.3059026718139648,326.90136181881786,0.998
18,1000,0.1992755413055419,501.81773109161276,0.97
19,900,0.1671247482299804,598.355426464966,0.986
20,800,0.1778132438659668,562.3878054627845,0.992
21,700,0.1486809730529785,672.5810165660381,0.9739999999999999
22,600,0.1369616031646728,730.1316404698271,0.9700000000000001
23,500,0.1250313282012939,799.7995497496854,0.984
24,400,0.109373140335083,914.301259830642,0.968
25,300,0.1118688583374023,893.9038217266399,0.9800000000000001
26,200,0.0836313724517822,1195.7235313536814,0.97
27,100,0.0698235511779785,1432.1815248998505,0.892
